,,,,,,,Číslo,20,37,19,3,9,24,18,21,27,33,35,25,14,8,15,17,36,4,34,28,1,10,13,11,38,2,29,32,39,5,6,26,12,23,30,22,16,7,31,,
Vítězslav,Jandák,ČSSD,Česká strana sociálně demokratická,Jihočeský,m,5402,5402,1,1,1,-1,0,1,0,0,0,0,0,-1,0,0,0,-1,0,1,1,1,-1,0,1,-1,1,0,0,,,0,0,0,0,0,1,0,-1,1,-1,,
David,Rath,ČSSD-Nezařazení,Česká strana sociálně demokratická-Nezařazení,Středočeský,m,5406,5406,-1,-1,-1,-1,0,0,-1,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,1,0,0,0,0,0,0,,
Cyril,Zapletal,ČSSD,Česká strana sociálně demokratická,Liberecký,m,5415,5415,1,1,1,-1,-1,1,-1,0,-1,-1,-1,-1,-1,0,0,-1,1,1,1,1,-1,-1,1,1,1,0,1,,,0,1,0,0,1,1,1,-1,1,-1,,
Jiří,Koskuba,ČSSD,Česká strana sociálně demokratická,Hlavní město Praha,m,5433,5433,-1,1,1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,0,-1,1,1,-1,1,-1,-1,0,1,1,1,0,0,,,1,1,1,1,1,1,1,-1,1,-1,,
Marek,Šnajdr,ODS,Občanská demokratická strana,Středočeský,m,5437,5437,1,0,-1,0,-1,1,0,1,0,0,0,1,0,0,0,1,1,-1,-1,1,1,-1,0,0,0,0,0,,,-1,-1,-1,-1,0,0,-1,0,0,0,,
Jan,Babor,ČSSD,Česká strana sociálně demokratická,Jihočeský,m,5444,5444,-1,1,1,-1,-1,1,-1,-1,0,0,0,-1,-1,0,-1,-1,0,1,1,1,-1,-1,-1,1,1,1,-1,,,1,1,-1,1,0,0,1,-1,0,0,,
Zdeněk,Boháč,ODS,Občanská demokratická strana,Olomoucký,m,5445,5445,1,-1,1,1,-1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,-1,0,0,,,-1,-1,-1,-1,-1,0,-1,1,0,1,,
Pavel,Bohatec,ODS,Občanská demokratická strana,Středočeský,m,5446,5446,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,,,0,0,0,0,0,0,0,1,-1,0,,
Vlasta,Bohdalová,ČSSD,Česká strana sociálně demokratická,Jihočeský,f,5447,5447,-1,1,1,1,-1,0,0,0,0,0,0,-1,-1,0,1,-1,1,1,1,1,-1,-1,1,1,1,0,0,,,0,1,-1,0,1,1,0,-1,0,-1,,
František,Dědič,ODS,Občanská demokratická strana,Jihočeský,m,5453,5453,1,-1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,-1,0,0,,,-1,-1,-1,-1,0,-1,-1,1,-1,1,,
