id,jmeno,prijmeni,obvod,,,obvod,cislo,,prijmeni,jmeno,foto,cro_n
89,Jiří,Nápravník,52,,TRUE,52,7,,Nápravník,Jiří,https://samizdat.blob.core.windows.net/vizitky16/senat-52-koruna-ceska-jiri-napravnik.jpg,
90,Zdeněk,Kučírek,52,,TRUE,52,6,,Kučírek,Zdeněk,https://samizdat.blob.core.windows.net/vizitky16/senat-52-moravane-zdenek-kucirek.jpg,
91,Milan,Kolář,52,,TRUE,52,4,,Kolář,Milan,https://samizdat.blob.core.windows.net/vizitky16/senat-52-koalice-sz-a-top09-milan-kolar.jpg,
92,Rudolf,Chloupek,52,,TRUE,52,3,,Chloupek,Rudolf,https://samizdat.blob.core.windows.net/vizitky16/senat-52-cssd-rudolf-chloupek.jpg,
93,Zdeněk,Faltus,52,,TRUE,52,8,,Faltus,Zdeněk,https://samizdat.blob.core.windows.net/vizitky16/senat-52-ano2011-zdenek-faltus.jpg,
94,Josef,Regec,49,,TRUE,49,6,,Regec,Jozef,https://samizdat.blob.core.windows.net/vizitky16/senat-49-sscr-jozef-regec.jpg,
95,Marie,Koudelová,49,,TRUE,49,7,,Koudelová,Mária,https://samizdat.blob.core.windows.net/vizitky16/senat-49-kscm-maria-koudelova.jpg,
96,Jan,Machač,49,,TRUE,49,5,,Machač,Jan,https://samizdat.blob.core.windows.net/vizitky16/senat-49-ods-jan-machac.jpg,
97,Jiří,Míšenský,49,,TRUE,49,4,,Míšenský,Jiří,https://samizdat.blob.core.windows.net/vizitky16/senat-49-ano2011-jiri-misensky.jpg,
98,Ivo,Polák,49,,TRUE,49,1,,Polák,Ivo,https://samizdat.blob.core.windows.net/vizitky16/senat-49-cssd-ivo-polak.jpg,
99,Drago,Sukalovský,49,,TRUE,49,9,,Sukalovský,Drago,https://samizdat.blob.core.windows.net/vizitky16/senat-49-stan-a-top09-drago-sukalovsky.jpg,
100,Jiří,Šoltys,49,,TRUE,49,3,,Šoltys,Jiří,https://samizdat.blob.core.windows.net/vizitky16/senat-49-narod-sobe-jiri-soltys.jpg,
101,Robert,Štěpánek,49,,TRUE,49,2,,Štěpánek,Robert,https://samizdat.blob.core.windows.net/vizitky16/senat-49-usvit-robert-stepanek.jpg,
102,Jaromíra,Vítková,49,,TRUE,49,8,,Vítková,Jaromíra,https://samizdat.blob.core.windows.net/vizitky16/senat-49-kdu-csl-jaromira-vitkova.jpg,
103,Petr,Šilar,46,,TRUE,46,2,,Šilar,Petr,https://samizdat.blob.core.windows.net/vizitky16/senat-46-kdu-csl-petr-silar.jpg,
104,Soňa,Hlavová,46,,TRUE,46,4,,Hlavová,Soňa,https://samizdat.blob.core.windows.net/vizitky16/senat-46-strana-prav-obcanu-sona-hlavova.jpg,
105,Jan,Lipavský,46,,TRUE,46,3,,Lipavský,Jan,https://samizdat.blob.core.windows.net/vizitky16/senat-46-ano2011-jan-lipavsky.jpg,
106,Martin,Strnad,46,,TRUE,46,6,,Strnad,Martin,https://samizdat.blob.core.windows.net/vizitky16/senat-46-usvit-narodni-koalice-martin-strnad.jpg,
107,Antonín,Vyšohlíd,46,,TRUE,46,1,,Vyšohlíd,Antonín,https://samizdat.blob.core.windows.net/vizitky16/senat-46-kscm-antonin-vysohlid.jpg,
108,Jaroslav,Zedník,46,,TRUE,46,7,,Zedník,Jaroslav,https://samizdat.blob.core.windows.net/vizitky16/senat-46-top09-jaroslav-zednik.jpg,
109,Dalibor,Zelený,46,,TRUE,46,5,,Zelený,Dalibor,https://samizdat.blob.core.windows.net/vizitky16/senat-46-cssd-dalibor-zeleny.jpg,
